id,date,username,tweet,Kategori
1351674894488985600,2021-01-20,gunung_bandung,"Mudah2an kita yg merasa beragama, apalagi org Islam, seharusnya mendukung upaya pencegahan penularan virus Corona ini salah satunya dgn vaksin. Dan jangan lupa slalu berdo'a. Karena semua upaya manusia, hasil atw tidaknya, karean ijin Alloh",1
1351673457801510915,2021-01-20,gunung_bandung,"Kalo ada ancaman, misal mati, yah harus ada upaya mencegahnya, contoh saat ini virus Corona mengintai setiap saat, ada upaya utk mengehentikan nya dgn vaksin.",1
1351670076676702208,2021-01-20,dubie_tina,PERHATIAN KHUSUS INI AYO DISIPLIN PROKES LEBIH BAIK LAGI ‼️ YG BELUM VAKSIN SEGERAKAN ‼️AYO BUAT SELURUH WILAYAH NKRI KITA LAWAN CORONA DGN DISIPLIN PROKES HARUS DAN KEWAJIBAN JGN PERNAH BERPIKIR SEPELE ‼️ HIDUP TERUS BERJALAN MASA KITA KALAH SAMA CORONA MALU DAN HINA TAU‼️⚖️🇮🇩⚖️,1
1351655099609739265,2021-01-20,windjalil,Pada dasarnya hanya NAFSU akan kekuasaan dan menguasai dunya yg menjadikan sandiwara CORONA menjadi bersambung. Elu demen? Demi ALLOH gue kagak demen dg permainan biadab bertopengkan jualan vaksin. Korban tewas dan lumpuh menjadi saksi KeBIADABan rezim haus KUASA tapi ngutangan.,2
1351651795731316736,2021-01-20,breakkucing,Vaksin konspirasi Flat earthers Pandemi konspirasi Corona obatnya cuma spiritual Dll.  Berada di jalan kebenaran memaksa kita menanggung beban kebodohan rekan... #PanjangUmurKebenaran  https://t.co/3teyAbkhay,2
1351622912634019841,2021-01-20,hs_saut,"@jokowi  STOP VAKSIN SINOVAC !  GANTI dg HERBAL AJAIB SARI BUAH &amp; FRY81 dokter HARUS BERIKAN ke smua pasien COVID19 krn sudah terbukti SEMBUH. Obat Suplemen CORONA MELIMPAH di negara kita kok pemerintah PAKSA &amp; ANCAM rakyat HARUS di Vaksin SINOVAC, ada apa ini?  https://t.co/9JTjl3I6nk",2
1351532426296606720,2021-01-19,7daisyy,"@neoomuulonely iya aku jg salut, corona, tsunami, gempa, banjir, gunung meletus, beliau bener2 dikasih masa2 sulit tpi masih aja disalah salahin, rakyat udah dikasih dana bantuan, progam prakerja, vaksin, dan bantuan lain tpi gak di bahas samsek, pembangunan jg lancar loh apalagi di luar jawa🙃",1
1351506903721934848,2021-01-19,esjorong,"@YRadianto Kayaknya bukan vaksin corona Ki, petugas dan pasien tidak pakai masker ..  .. itu pasti vaksin anti gemblung 🤪🤪",2
1351504164040237058,2021-01-19,budiriy68941305,@tvOneNews Lalu untuk apa di vaksin kalau tetap kena corona,2
1351500052280258560,2021-01-19,r_wahyuindah,vaksin corona udah datang. Kita bersiap untuk menyambutnya. Tak perlu takut karena vaksin bertujuan untuk menjaga imun kita. Biar pandemi segera berakhir. #bpjskesehatan siap membantu    https://t.co/sZwh18i9aX  #bpjsmelayani #gotongroyongsemuatertolong #jknhadiruntukrakyat  https://t.co/ITnbhjSdCz,1
1351484859898761220,2021-01-19,beemes1,"Semoga vaksin sinovac aman untuk Indonesia juga.   https://t.co/tCXXDDKJkP  Presiden Filipina, Rodrigo Duterte, memuji keamanan vaksin virus Corona (COVID-19) buatan perusahaan-perusahaan biofarmasi China.",1
1351483949931851777,2021-01-19,alfaruq72469388,INGAT SELALU GUNAKAN MASKER.!!! #WALAU SDH DI VAKSIN CORONA  https://t.co/5ylE3hG192,1
1351480686167818242,2021-01-19,teguhk_awan,"Hiduplah seperti CORONA Dia didoakan mati, disiram desinfektan Digulung hand sanitizer diracuni Vaksin Dihina, Dicaci, Dimusnahkan  Tapi tetap  Doa memberikan efek POSITIF pada manusia  Covid - 19",1
1351475567359533056,2021-01-19,putridianimus,"Kalo aku sih pro vaksin ya, karena yaa sepertinya corona ini gabakalan ilang, jd ikhtiarnya ya vaksin itu..",1
