aamiiin,amin
aamiin,amin
abang,kakak
ad,ada
adalh,apa apa
adanuya,adanya
adek,adik
adl,adalah
adlh,adalah
ae,saja
agk,agak
agr,agar
ahh,ah
aing,saya
aj,saja
aja,saja
ajah,saja
aje,saja
ak,aku
akang,kakak
akherat,akhirat
akn,akan
akooh,aku
akrena,karena
akutu,aku itu
akutuh,aku itu
alesannya,alasannya
alloh,allah
ama,sama
amanvaksin,aman vaksin
amiin,amin
aminn,amin
ampe,sampai
anak²,anak anak
and,dan
ane,saya
anjim,anjing
anter,antar
anying,anjing
ap² ,apa apa
apaapa,apa apa
apalg,apalagi
apalgi,apalagi
ape,apa
apq,apa
aptudet,terbaru
aq,aku
aseekk,asyik
asu,anjing
ato,atau
atw,atau
auto,otomatis
aware,sadar
ayok,ayo
ayonjangan,ayo jangan
ayoo,ayo
ayooo,ayo
bacod,banyak omong
bacot,banyak omong
bahayaaaa,bahaya
baheula,dahulu
bangett,banget
bangt,banget
bansos,bantuan sosial
bayangin,membayangkan
bbrp,beberapa
bebasin,bebaskan
bego,bodoh
begok,bodoh
begonya,bodohnya
belagu,pura pura tidak tahu
belom,belum
belumsi,belum sih
bener,benar
berdo,berdoa
berdukacita,berduka cita
berjln,berjalan
bersma,bersama
bg,bagi
bgitu,begitu
bgmn,bagaimna
bgsd,bangsat
bgst,bangsat
bgt,banget
bharap,berharap
bhw,bahwa
biarin,membiarkan
protoko,protokol
kesehatn,kesehatan
bijimana,bagaimana
birus,virus
biznis,bisnis
bkn,bukan
bknnya,bukannya
blg,bilang
blm,belum
blom,belum
bngeet,banget
bnr,benar
bnran,beneran
bntr,bentar
bnyak,banyak
bnyk ,banyak
body,bodi
body,bodi
bokap,bapak
bosen,bosan
boys,laki laki
bp,bapak
bpk,bapak
brantas,berantas
brizik,berisik
bro,kakak
brsama,bersama
brsma,bersama
brubah,berubah
bs,bisa
bsa,bisa
buatann,buatan
berbulan²,berbulan bulan
bullshit,bohong
bund,bu
butuhny,butuhnya
by,oleh
byak,banyak
bye,selamat tinggal
byebye,selamat tinggal
byk,banyak
care,peduli
cb,coba
cba,coba
cepet,cepat
ceritain,ceritakan
china,cina
cilaka,celaka
clear,selesai
clinical,klinik
cm,cuma
cmiiw,terima kasih
ngerokok,merokok
cmn,cuman
comunitasrondomempesona,comunitas rondo mempesona
content,konten
copid,covid
covid,merokok
cpt,cepat
cs,dan kawan kawan
cuan,duit
cvid,covid
cvid,covid
d,di
daftarin,daftarkan
dah,sudah
dangerous,berbahaya
dapetin,dapatkan
darisini,dari sini
daro,dari
denga,dengan
denger,dengar
dengerin,dengarkan
dengernya,dengarnya
dg,dengan
dgan,dengan
dgn,dengan
diapa,di apa
dibagiin,dibagikan
dibelokin,dibelokkan
dibisnisin,dibisniskan
dibodokin,dibodohin
diboongi,dibohongi
digratisin,digratiskan
dii,di
dijadiin,dijadikan
dijdkan,dijadikan
dikeplak,ditepuk
diksh,dikasih
dipake,dipakai
dipastiin,dipastikan
diperbyk,diperbanyak
dipt,di pt
ditakutin,ditakutkan
ditutupi,ditutup
dkk,dan kawan kawan
dl,dulu
dlam,dalam
dll,dan lain lain
dlm,dalam
dlu,dulu
dn,dan
dng,dengan
dngan,dengan
dngn,dengan
do,doa
dongo,bodoh
doonk,dong
dpt,dapat
dr,dari
dri,dari
dripd,daripada
dripda,daripada
drpd,daripada
dsb,dan sebagainya
dsripads,daripada
dtg,datang
duh,aduh
duiung,dukung
dukuung,dukung
dungu,bodoh
dunya,dunia
dy,dia
efektifny,efektifnya
ehh,eh
elu,kamu
emang,memang
emg,memang
emgnya,memangnya
engga,tidak
enggak,tidak
enggaknya,tidaknya
enggan,tidak mau
ente,kamu
example,contohnya
eye,mata
fb,facebook
finish,selesai
folow,mengikuti
from,dari
fuck sin,vaksin
funhsi,fungsi
fyi,informasi untuk kamu
g,tidak
ga,tidak
gaada,tidak ada
gaapa,tidak apa apa
gabakal,tidak akan
gabakalan,tidak akan
gabisa,tidak bisa
gada,tidak ada
gaes,teman teman
gaess,teman teman
gaiss,teman teman
gak,tidak
gakada,tidak ada
gakpapa,tidak apa apa
galoooo,galau
gamau,tidak mau
gapercaya,tidak percaya
gapernah,tidak pernah
gara²,gara gara
gas,ayo
gasabar,tidak sabar
gatau,tidak tahu
gausah,tidak usah
gayakin,tidak yakin
gegara,gara gara
gemblung,bodoh
yaiyalah,ya iya lah
gengs,teman teman
germany,jerman
gimana,bagaimana
gini,begini
gitu,begitu
gk,tidak
gkkan,tidak akan
gmn,bagaimana
goblok,bodoh
govt,pemerintah
gpp,tidak apa apa
gratisin,gratiskan
gtu,begitu
gua,saya
gub,gubernur
gue,saya
guy,teman teman
guys,teman teman
guyss,teman teman
gw,saya
gwe,aku
hadeeeeehh,aduh
hadeehh,aduh
hadepi,hadapi
hadeuh,aduh
haduuhh,aduh
hahahancur,hancur
hangout,jalan jalan
hayu,ayo
hayuuuk,ayo
help,tolong
hempass,hempas
hitung²,hitung hitung
hitung²,hitung
hoaks,berita bohong
hoax,berita bohong
hrs,harus
hsl,hasil
i,saya
idk,saya tidak tau
idup,hidup
if,jika
ijin,izin
ilang,hilang
important,penting
in,dari
ind,indonesia
indo,indonesia
indon,indonesia
inget,ingat
inih,ini
iniih,ini
iniih,ini
inijd,ini jadi
insecure,cemas
inshaa,insya
isn,tidak
it,itu
it,itu
its,itu
jd,jadi
jdi,jadi
jea,aja
jg,juga
jga,juga
jgan,jangan
jgn,jangan
jlnkan,jalankan
join,gabung
jombi,zombie
joosss,mantap
joss,mantap
jt,juta
jurdil,jujur adil
just,hanya
k,ke
kaah,kan
kagak,tidak
kakanda,kakak
kakang,kakak
kalo,kalau
kaminpunya,kami punya
kanda,kakak
kangmas,kakak
kann,kan
karean,karena
karna,karena
kasian,kasihan
katut,ikut
kau,kamu
kau,kamu
kdepan,kedepan
kedunguan,kebodohan
kejamm,kejam
kek,kayak
keknya,kayaknya
kemaren,kemarin
kenak,kena
kenan,kena
kenapasih,kenapa sih
kenape,kenapa
kendor,kendur
kendorrr,kendur
kendorrrr,kendur
kereeeen ,keren
kerumun,kerumunan
keseriusab,keseriusan
ketemu,bertemu
key,value
kh,kah
ki,ini
kimak,bagaimana
kl,kalau
klen,kalian
klian,kalian
klo,kalau
klu,kalau
kluarga,keluarga
klw,kalau
km,kamu
kmana,kemana
kmaren,kemarin
kmbali,kembali
kmbl,kembali
kmbli,kembali
kmi,kami
kmu,kamu
kmu,kamu
kn,kan
kna,kena
know,tau
knowkan ,tahukan
knows,tahu
knp,kenapa
knpun,kapanpun
kocak,lucu
koq,kok
korona,corona
korona,corona
woyyy,woy
korporat,korporasi
kovid,covid
kpd,kepada
kpda,kepada
kr,karena
krn,karena
krna,karena
ksh,kasih
ksian,kasihan
kt,kita
kualitaz,kualitas
kuatirnye,khawatirnya
kuingin,aku ingin
kutakut,aku takut
kuy,ayo
ky,kayak
kya,kayak
kyknya,kayaknya
la,lah
laamaaaaa,lama
lagiaann,lagian
lahh,lah
larena,karena
lau,kamu
lbh,lebih
lbih,lebih
let,silahkan
levih,lebih
lg,lagi
lgi,lagi
lncr,lancar
lo,kamu
loe,kamu
lokdon,lockdown
love,cinta
lu,kamu
luh,kamu
m,3m
ma,sama
made,buatan
mahasial,maharani
mak,ibu
make,pakai
manfaatin,memanfaatkan
mantaaaapppp,mantap
mantaaannn,mantan
mantab,mantap
mantabs,mantap
mantaps,mantap
mantapz,mantap
mantemen,teman teman
mantep,mantap
mantul,mantap betul
mantull,mantap betul
maren,kemarin
mas,kakak
masi,masih
masy,masih
masyatakat,masyarakat
masyrakat,masyarakat
matep,mantap
matiin,mematikan
mbak,kakak
mdhan,mudah mudahan
me,aku
melebeli,melabeli
membrikan,memberikan
mendptkan,mendapatkan
mengehentikan,menghentikan
mengendorse,mengiklankan
menjd,menjadi
menurt,menurut
merka,mereka
mga,moga
mgk,mungkin
mikirin,memikirkan
minggat,pergi
minggato,pergi
minsetnya,pola pikirnya
misleading,menyesatkan
mjd,menjadi
mkasi,terima kasih
mklum,maklum
mlh,malah
pasuen ,pasien
mmbentuk,membentuk
mmg,memang
mnding,mending
mndpt,mendapatkan
mngurusi,mengurusi
mnuju,menuju
mnurun,menurun
mo,mau
moga²,moga moga
monggo,silahkan
mreda,mereda
mreka,mereka
mrk,mereka
msh,masih
mslh,masalah
msnah,musnah
msyarakat,masyarakat
mulu,melulu
musnahin,musnahkan
n,dan
naikin,menaikkan
naikin,menaikkan
nak,anak
nampung,tampung
nan,yang
nasip,nasib
nasip,nasib
nawarin,menawari
ne,ini
nebus,tebus
ngaco,ketidakpercayaan
ngadepin,menghadapi
ngak,tidak
ngaku,mengakui
ngamuk,mengamuk
ngantri,mengantri
ngap²an,ngap ngapan
ngapain,kenapa
ngaruh,pengaruh
ngatasin,mengatasi
hah,ketawa
ngaku,mengakui
imnun,imun
ngaur,ngaco
ngebantu,membantu
ngebunuh,membunuh
ngecek,mengecek
ngehe,sial
ngeles,mengelak
ngelola,mengelola
ngemis,mengemis
ngemis ,mengemis
ngerasa,merasa
ngerihhhh,ngeri
ngerii,ngeri
ngerti,tahu
ngerugiin,merugikan
ngerusak,merusak
ngetwit,tweet
ngga,tidak
nggak,tidak
nggk,tidak
ngilangin,menghilangkan
ngkong,kakek
nglanjutin,melanjutkan
ngobrol,obrol
ngomong,omong
ngomongin,omong
ngonser,konser
ngpain,kenapa
ngritik,mengkritik
ngurangin,mengurangi
ngurus,urus
ngutangan,hutang
ni,ini
nichhh,ini
nie,ini
nih,ini
ningkatin,meningkatkan
niu,ini
niy,ini
no,tidak
nolak,tolak
nongkrong,menongkrong
normal²,normal normal
nt,nanti
ntap,mantap
ntar,nanti
ntr,nanti
ntuk,untuk
nular,menular
nunggu,tunggu
nunjukin,menunjukkan
nyadar,sadar
nyalahin,menyalahkan
nyampe,sampai
nyelesain,menyelesaikan
nyiarkan,menyiarkan
nyiptain,ciptakan
nyuri,curi
nyuruh,suruh
nyusain,menyusahkan
nywa,nyawa
ogah,tidak mau
ogah,tidak mau
okey,oke
on,pada
onoh,dia
onta,unta
open,buka
or,atau
ora,tidak
order,pesan
org,orang
orng,orang
overthingking,terlalu banyak berfikir
pahut,pahit
pakdhe,jokowi
pakk,pak
paksain,memaksa
paksin,vaksin
pala,kepala
pala,kepala
parahh,parah
parahhh,parah
parno,paranoia
paru²,paru paru
pasuen,pasien
pd,pada
pda,pada
pdhal,padahal
pdhl,padahal
pedzolim,zalim
peju,sperma
pek,bodoh
pembaut,pembuat
pememrintah,pemerintah
pemerinta,pemerintah
pemerinth ,pemerintah
pemrintah,pemerintah
pen,mau
pencerahanny,pencerahannya
pendzholim,zalim
pendzolim,zalim
pengen,ingin
penjarain,penjarakan
permasalahin,permasalahkan
pihak²,pihak pihak
pinggirin,pinggirkan
pinter,pintar
pk,pak
please,tolong
plg,paling
plis,tolong
pmerintah,pemerintah
